NAME,LOCATION,RATING ,NO. OF REVIEWS ,PRICE,
FabHotel Shubham Inn,Mumbai,8.6,,"?3,485 ",
Hotel Regalia Suites,Navi Mumbai,,,"?7,141 ",
Hotel Arma Near BKC,Mumbai,7.8,(6 reviews),"?2,318 ",
Carlton Hotel,Mumbai,6,,"?3,151 ",
Hotel Oyster Suite,Andheri West,8,(1 review),"?2,520 ",
Grand Hotel,Mumbai,7.8,(201 reviews),"?11,151 ",
Hotel Subhash,Mumbai,4.4,,"?2,183 ",
Hotel Shiv Vandana Inn - Thane,Thane,7.4,,"?2,528 ",
Hotel Suba International,Vile Parle,8,(361 reviews),"?16,036 ",
Hotel SriKrishna Paradise Thane Airoli,Thane,8,(2 reviews),"?3,528 ",
Astha Kandivali Service Apt,Mumbai,,,"?6,048 ",
"Rodas An Ecotel Hotel, Mumbai",Mumbai,8.6,(133 reviews),"?9,404 ",
Hotel Ariana Residency,Andheri West,6,,"?6,168 ",
Hotel Ozone Inn,Mumbai,6.8,,"?14,160 ",
Hotel Sea Breeze,Mumbai,6.6,,"?2,304 ",
ibis Mumbai Airport Hotel,Mumbai,7.2,(458 reviews),"?12,272 ",
Hotel Blue Sky Residency,Mumbai,4.8,,"?2,464 ",
Hotel Laxvas- The Business Hotel,Thane,5,,"?5,600 ",
The Classique Club,Andheri West,6.4,,"?7,862 ",
Treebo Prince Andheri East,Mumbai,8,(3 reviews),"?4,172 ",
Theory9 Premium Serviced Apartments Khar,Mumbai,7.8,(6 reviews),"?6,887 ",
Hotel Royal Elite,Goregaon,6,,"?4,704 ",
HOTEL OLTEN,Andheri East,7.4,(11 reviews),"?4,083 ",
Hotel Tip Top Plaza,Mumbai,7.6,(15 reviews),"?8,120 ",
Grand Residency Hotel & Serviced Apartments,Bandra West,7.8,(94 reviews),"?13,119 ",
Hotel Affari,Mumbai,8.8,(3 reviews),"?2,139 ",
Ramee Guestline Hotel Juhu,Mumbai,6.2,,"?6,830 ",
